year,month,inflation
1933,5,-0.08029197080291968
1933,6,-0.06617647058823532
1933,7,-0.03676470588235294
1933,8,-0.022222222222222275
1933,9,-0.014925373134328438
1933,10,-0.007518796992481309
1933,11,0
1933,12,0.007633587786259515
1934,1,0.02325581395348829
1934,2,0.047244094488189094
1934,3,0.05555555555555564
1934,4,0.05555555555555564
1934,5,0.05555555555555564
1934,6,0.05511811023622056
1934,7,0.02290076335877868
1934,8,0.015151515151515233
1934,9,0.03030303030303033
1934,10,0.022727272727272783
1934,11,0.022727272727272783
1934,12,0.015151515151515233
1935,1,0.03030303030303033
1935,2,0.030075187969924703
1935,3,0.030075187969924703
1935,4,0.03759398496240601
1935,5,0.03759398496240601
1935,6,0.022388059701492456
1935,7,0.022388059701492456
1935,8,0.022388059701492456
1935,9,0.007352941176470562
1935,10,0.014814814814814762
1935,11,0.022222222222222275
1935,12,0.029850746268656744
1936,1,0.014705882352941256
1936,2,0.007299270072992805
1936,3,0
1936,4,-0.007246376811594305
1936,5,-0.007246376811594305
1936,6,0.007299270072992805
1936,7,0.01459854014598548
1936,8,0.021897810218978155
1936,9,0.021897810218978155
1936,10,0.021897810218978155
1936,11,0.014492753623188354
1936,12,0.014492753623188354
1937,1,0.021739130434782532
1937,2,0.021739130434782532
1937,3,0.03649635036496351
1937,4,0.04379562043795631
1937,5,0.05109489051094899
1937,6,0.04347826086956519
1937,7,0.043165467625899255
1937,8,0.03571428571428571
1937,9,0.04285714285714283
1937,10,0.04285714285714283
1937,11,0.03571428571428571
1937,12,0.0285714285714286
1938,1,0.007092198581560258
1938,2,0
1938,3,-0.007042253521126736
1938,4,-0.006993006993007092
1938,5,-0.02083333333333338
1938,6,-0.02083333333333338
1938,7,-0.027586206896551748
1938,8,-0.027586206896551748
1938,9,-0.03424657534246575
1938,10,-0.04109589041095888
1938,11,-0.034482758620689655
1938,12,-0.0277777777777778
1939,1,-0.014084507042253471
1939,2,-0.014184397163120517
1939,3,-0.014184397163120517
1939,4,-0.028169014084506942
1939,5,-0.021276595744680778
1939,6,-0.021276595744680778
1939,7,-0.021276595744680778
1939,8,-0.021276595744680778
1939,9,0
1939,10,0
1939,11,0
1939,12,0
1940,1,-0.0071428571428571175
1940,2,0.007194244604316521
1940,3,0.007194244604316521
1940,4,0.014492753623188354
1940,5,0.014492753623188354
1940,6,0.021739130434782532
1940,7,0.014492753623188354
1940,8,0.014492753623188354
1940,9,-0.007092198581560258
1940,10,0
1940,11,0
1940,12,0.0071428571428571175
1941,1,0.014388489208633042
1941,2,0.0071428571428571175
1941,3,0.014285714285714235
1941,4,0.02142857142857148
1941,5,0.0285714285714286
1941,6,0.04255319148936168
1941,7,0.04999999999999995
1941,8,0.06428571428571431
1941,9,0.07857142857142854
1941,10,0.0928571428571429
1941,11,0.10000000000000002
